scaffold,total,errors,corrects,fp,fn,error_rate,has_mixed
O=S(Cc1ccccn1)c1nc2ccccc2[nH]1,4,4,0,1,3,1.0,False
C1=C2CCCCC2C2CCC3C4CC5(CCCCO5)OC4CC3C2C1,2,2,0,2,0,1.0,False
O=C(NC(Cc1c[nH]c2ccccc12)C(=O)NCc1ccccc1)OCc1cc2ccccc2o1,2,2,0,0,2,1.0,False
O=C(Nc1cccc(C2COCC=N2)c1)c1ccccn1,2,2,0,0,2,1.0,False
O=C(c1ccccc1)N1CCN2C(=O)c3ccccc3C12c1ccccc1,2,2,0,0,2,1.0,False
c1ccc(-n2ncc3ccc(-c4ccc(C5CC5)cc4)cc32)cc1,2,2,0,0,2,1.0,False
C(=C(c1ccccc1)c1ccccc1)c1ccccc1,1,1,0,0,1,1.0,False
C(=Cc1ccccc1)c1ccccc1,1,1,0,0,1,1.0,False
C1=Cc2ccccc2C1=Cc1ccccc1,1,1,0,0,1,1.0,False
C1CCC2(CC1)OCCO2,1,1,0,0,1,1.0,False
O=C(C1CCCO1)N1CCN(c2ncc3ccccc3n2)CC1,1,1,0,1,0,1.0,False
O=C(CC(NC(=O)c1ccccc1)c1ccccc1)OC1C=C2CC(=O)C3CCC4OCC4C3C(OC(=O)c3ccccc3)C(C2)C1,1,1,0,1,0,1.0,False
O=C(NC1CCCCC1)NS(=O)(=O)c1ccc(CCNC(=O)N2CC=CC2=O)cc1,1,1,0,0,1,1.0,False
O=C(NC1CCc2ccccc21)C(CCCN1CCN(Cc2cccnc2)CC1)Cc1ccccc1,1,1,0,1,0,1.0,False
O=C(NCC1CCCN1)c1cn(C2CCCC2)c(=O)c2[nH]c3ccccc3c12,1,1,0,0,1,1.0,False
O=C(NCCc1ccccc1)C1CCCCC1,1,1,0,0,1,1.0,False
O=C(NCc1ccccc1)c1cnn2cccnc12,1,1,0,0,1,1.0,False
O=C(Nc1ccc(Oc2ncccn2)cc1)c1ccccn1,1,1,0,0,1,1.0,False
O=C(Nc1cccc(C2COCC=N2)c1)c1cnccn1,1,1,0,0,1,1.0,False
O=C(Nc1cccc(S(=O)(=O)C2CC(N3CCCC3)C2)c1)NC1C=CCC1,1,1,0,1,0,1.0,False
O=C(Nc1cccc(S(=O)(=O)C2CCOC2)c1)NC1C=CCC1,1,1,0,1,0,1.0,False
O=C(Nc1ccccc1)C1CCN(c2ccnc3ccccc23)CC1,1,1,0,0,1,1.0,False
O=C(Nc1ccccn1)c1cc(Oc2cccnc2)cn2cnnc12,1,1,0,0,1,1.0,False
O=C(Nc1ccccn1)c1cc(Oc2cccnc2)cn2ncnc12,1,1,0,0,1,1.0,False
O=C(c1ccccc1)c1coc2ccccc12,1,1,0,0,1,1.0,False
O=C1C(=O)c2c(ccc3c2CCCC3)-c2occc21,1,1,0,0,1,1.0,False
O=C1C=C2C3CCCCC3CCC2C2CCC3CC(OC4OCCCC4OC4CCCCO4)CCC3C12,1,1,0,0,1,1.0,False
O=C1C=CCC2CC3Cc4ccccc4C=C3C(=O)C12,1,1,0,0,1,1.0,False
O=C1CCCC2C3CCCN4CCCC(CN12)C34,1,1,0,1,0,1.0,False
O=C1COc2ccc(N3CCN(c4ccccc4)CC3)cc21,1,1,0,0,1,1.0,False
O=C1c2ccccc2C(=O)C1c1ccccc1,1,1,0,0,1,1.0,False
O=C1c2ccccc2NC2c3[nH]c4ccccc4c3CCN12,1,1,0,1,0,1.0,False
O=S(=O)(N=CNC1CCCCC1)c1ccccc1,1,1,0,0,1,1.0,False
O=S(=O)(c1cnoc1)N1CCN(c2ccc(N3CCCCC3)nn2)CC1,1,1,0,0,1,1.0,False
O=c1[nH]c2c(c(=O)[nH]1)CN=C(c1ccccc1)N2,1,1,0,1,0,1.0,False
O=c1[nH]cnc2ccccc12,1,1,0,0,1,1.0,False
O=c1c(-c2ccccc2)coc2c(C3CCCCO3)cccc12,1,1,0,1,0,1.0,False
O=c1cc(-c2ccccc2)oc2cc(OC3CCCCO3)ccc12,1,1,0,1,0,1.0,False
O=c1cc(-c2ccncn2)nc(N2CCN(c3ccccc3)CC2)[nH]1,1,1,0,0,1,1.0,False
O=c1cc[nH]c2cc(N3CCNCC3)ccc12,1,1,0,0,1,1.0,False
O=c1ccc2cc3ccoc3cc2o1,1,1,0,0,1,1.0,False
O=c1ccc2ccc3occc3c2o1,1,1,0,0,1,1.0,False
O=c1ccn(C2CC2)c2cc(N3CCNCC3)ccc12,1,1,0,0,1,1.0,False
O=c1cnc2ncccc2n1Cc1ccc(-c2ccc3n[nH]cc3c2)cc1,1,1,0,0,1,1.0,False
c1ccc(-c2ccccc2-c2nnn[nH]2)cc1,1,1,0,0,1,1.0,False
c1ccc(CCOC2CCCCO2)cc1,1,1,0,1,0,1.0,False
c1ccc(N2CCN(c3ccc4c(c3)CCO4)CC2)cc1,1,1,0,0,1,1.0,False
c1ccc2c(CC3CC4CCN3CC4)ccnc2c1,1,1,0,1,0,1.0,False
c1ccc2ccccc2c1,1,1,0,0,1,1.0,False
O=C(NCc1ccccc1)c1cc2ccnnc2s1,8,6,2,0,6,0.75,True
,4,3,1,1,2,0.75,True
O=C(NCC1(CC2CC2)C2CN(S(=O)(=O)c3c[nH]cn3)CC21)c1ccccc1,8,5,3,0,5,0.625,True
O=C(C1CCN(c2cc(Oc3ccccc3)ncn2)CC1)N1CCc2ccccc2C1,2,1,1,0,1,0.5,True
O=C(C1CCN(c2ncnc3sccc23)CC1)N1CCCC1,2,1,1,0,1,0.5,True
O=C(NC1CN(c2ccccc2)C1)c1cc2ccnnc2s1,2,1,1,0,1,0.5,True
O=C(NCC1(c2ccccn2)C2CN(S(=O)(=O)c3c[nH]cn3)CC21)c1ccccc1,2,1,1,0,1,0.5,True
O=C(Nc1nccs1)C1c2ccccc2Oc2ccccc21,2,1,1,0,1,0.5,True
O=C(c1ccccc1)c1ccc[nH]1,2,1,1,0,1,0.5,True
O=S(=O)(Nc1ncccn1)c1ccccc1,2,1,1,0,1,0.5,True
O=c1c(-c2ccccc2)coc2ccccc12,2,1,1,0,1,0.5,True
c1ccc(-c2ccccc2)cc1,2,1,1,0,1,0.5,True
c1cscn1,2,1,1,0,1,0.5,True
N=C(C(=O)NC1C(=O)N2C=CCSC12)c1cscn1,3,1,2,0,1,0.3333333333333333,True
O=C(NC1CN(c2cccnc2)C1)c1cc2ccnnc2s1,3,1,2,0,1,0.3333333333333333,True
O=C(Nc1ccccc1)NC1C=CCC1,4,1,3,1,0,0.25,True
c1ccccc1,12,2,10,0,2,0.16666666666666666,True
O=C1C2=CC3C(=O)C=CCC3CC2Cc2ccccc21,9,0,9,0,0,0.0,False
c1ccc(CCC2CCCN(Cc3c[nH]c4ccccc34)C2)cc1,7,0,7,0,0,0.0,False
N=C(C(=O)NC1CNC1=O)c1cscn1,4,0,4,0,0,0.0,False
O=C(NCN1CCNCC1)C1=CCC2CC3Cc4ccccc4C(=O)C3=CC2C1=O,3,0,3,0,0,0.0,False
O=C1C(N=CN2CCCCCC2)C2SCCN12,3,0,3,0,0,0.0,False
c1cncc(OC2CCN(c3ncnc4sccc34)CC2)c1,3,0,3,0,0,0.0,False
C1C2CC3CC1CC(C2)C3,2,0,2,0,0,0.0,False
C1CCC(OC2OCCC2OC2CCCCO2)CC1,2,0,2,0,0,0.0,False
C=C1c2ccccc2C(=O)C2=CC3C(=O)C=CCC3CC12,2,0,2,0,0,0.0,False
O=C(Cc1cccs1)NC1C(=O)N2C=C(C[n+]3ccccc3)CSC12,2,0,2,0,0,0.0,False
O=C(NC1CC2CCC(C1)N2Cc1ccccc1)c1ccccc1,2,0,2,0,0,0.0,False
O=C(NCc1ccc(-c2cccnc2)cc1)c1cc2ccnnc2s1,2,0,2,0,0,0.0,False
O=C(NCc1ccc(-c2ccncc2)cc1)c1cc2ccnnc2s1,2,0,2,0,0,0.0,False
O=C(NCc1ccno1)c1cccc(OC2CCNCC2)c1,2,0,2,0,0,0.0,False
O=C1CC2CC=CN12,2,0,2,0,0,0.0,False
O=c1c2c[nH]c3ccccc3c-2nn1-c1ccccc1,2,0,2,0,0,0.0,False
c1ccc(-n2ncc3ccc(-c4ccc(C5CC5)cc4)cc32)nc1,2,0,2,0,0,0.0,False
c1ccc(CN2CCOC(COc3ccccc3)C2)cc1,2,0,2,0,0,0.0,False
c1ccc(CN2CCOC(CSc3ccccc3)C2)cc1,2,0,2,0,0,0.0,False
c1ccc2c(c1)C1CCC2c2ccccc21,2,0,2,0,0,0.0,False
c1cncc(NC2CCN(c3ncnc4sccc34)CC2)c1,2,0,2,0,0,0.0,False
c1cncc(OC2CCN(c3ccnc4ccccc34)CC2)c1,2,0,2,0,0,0.0,False
c1cncc(OC2CCN(c3ncnc4ccccc34)CC2)c1,2,0,2,0,0,0.0,False
C1=C2CCCC(OC3OCCC(OC4CCCCO4)C3OC3CCCCO3)C2C2CCC3C4CC5(CCCCO5)OC4CC3C2C1,1,0,1,0,0,0.0,False
C1=CC23OCC4(CCCCC42)CCC3C2CCC3CC(OC4CC(OC5CCCCO5)CCO4)CCC3C12,1,0,1,0,0,0.0,False
C1=CC2C3Cc4ccc(OC5CCCCO5)c5c4C2(CCN3)C(C1)O5,1,0,1,0,0,0.0,False
C1=CC2C3Cc4cccc5c4C2(CCN3)C(O5)C1OC1CCCCO1,1,0,1,0,0,0.0,False
C1=COCCC1,1,0,1,0,0,0.0,False
C1CCC(OCC2CCC3C2CCC2C4CCCCC4C(OC4CCCCO4)CC32)OC1,1,0,1,0,0,0.0,False
C1CCC(OCC2CCC3C2CCC2C4CCCCC4C(OC4OCCCC4OC4CCCCO4)CC32)OC1,1,0,1,0,0,0.0,False
C1CCC(OCC2CCC3C2CCC2C4CCCCC4CCC23)OC1,1,0,1,0,0,0.0,False
C1CCCCC1,1,0,1,0,0,0.0,False
C1CCOCC1,1,0,1,0,0,0.0,False
C1CN(C23CC4CC(CC(C4)C2)C3)C1,1,0,1,0,0,0.0,False
N=C(C(=O)NC1C(=O)N2C=C(CSC(=O)c3ccco3)CSC12)c1cscn1,1,0,1,0,0,0.0,False
N=C(C(=O)NC1C(=O)N2C=C(CSc3nc(=O)c(=O)[nH][nH]3)CSC12)c1cscn1,1,0,1,0,0,0.0,False
